Question,Default Weight,Category,Opportunity Type,Opportunity Subtypes
Company Name,Info,Overview,All,All
Year Founded,10,Overview,All,All
Headquarters,Info,Overview,All,All
Ownership,Info,Overview,All,All
Parent Company,Info,Overview,All,All
Number of Clients/Endpoints,10,Overview,All,All
Referenceable Clients,10,Overview,All,All
Number of Employees,10,Overview,All,All
Gartner/Forrester/Other Analyst Information,Info,Overview,All,All
Where are you NOCs/SOCs located?,10,Overview,Managed Service Provider,All
Do you have a SOC2 Type 2 report that can be shared under NDA?,10,Overview,Managed Service Provider,All
List the industry certifications held by your staff.,10,Overview,Managed Service Provider,All
Describe your help desk offering in detail,Info,Help Desk,Managed Service Provider,
How many help desk support personal do you have employed?,10,Help Desk,Managed Service Provider,
List the end user applications that you support out of the box.,10,Help Desk,Managed Service Provider,
What hours is your help desk staffed excluding ‘on call?’,10,Help Desk,Managed Service Provider,
List your help desk locations.,10,Help Desk,Managed Service Provider,
List all channels for the client to contact the help desk.,10,Help Desk,Managed Service Provider,
Can you provide onsite help desk support?,10,Help Desk,Managed Service Provider,
Do you staff all support tiers 24/7/365 excluding on-call?,10,Help Desk,Managed Service Provider,
Do you provide an on-call service?,10,Help Desk,Managed Service Provider,
What reporting do you offer and how frequently?,10,Help Desk,Managed Service Provider,
What are your response and resolution SLAs for the help desk?,10,Help Desk,Managed Service Provider,
"Will you manage customer owned switching, routing, firewalls and wifi networking? What platforms are supported? ",,Managed Infrastructure,Managed Service Provider,
Do you manage SD-WAN environments? Which platforms do you support/recommend?,,Managed Infrastructure,Managed Service Provider,
Do you support/manage LTE circuit devices such as Peplink or Craddlepoint?,,Managed Infrastructure,Managed Service Provider,
Do you provide circuit monitoring and support? ,,Managed Infrastructure,Managed Service Provider,
"Do you engage directly with circuit carriers for ticket management, troubleshooting and problem resolution?",,Managed Infrastructure,Managed Service Provider,
Do you include onsite support for network hardware issues/replacement?,,Managed Infrastructure,Managed Service Provider,
What are your SLA's remote support?,,Managed Infrastructure,Managed Service Provider,
What are your SLA's for onsite support if needed? How do you charge for onsite support?,,Managed Infrastructure,Managed Service Provider,
Are you willing to provide best effort support on unmanaged/on premise infrastructure (talk LCON through troubleshooting),,Managed Infrastructure,Managed Service Provider,
"If customer chooses to move to a model in the future where you provide the hardware as a monthly service cost, what hardware platforms do you support in this model?",,Managed Infrastructure,Managed Service Provider,
What primary monitoring tool does your NOC use for network? Would customer have access to this tool?,,Managed Infrastructure,Managed Service Provider,
Do you include proactive capacity and EOL/EOS management as part of your offering?,,Managed Infrastructure,Managed Service Provider,
Are you willing to work directly within customers ticketing system?,,Managed Infrastructure,Managed Service Provider,
"Describe your methodogy for implementing new deployments of LAN/WAN environments (switching, routing, SDWAN, Wifi, cabling etc)",,Managed Infrastructure,Managed Service Provider,
Can you integrate with customers ticketing system for bi-directional ticket mangement?,,Managed Infrastructure,Managed Service Provider,
Describe your DRaaS service offering(s),10,DRaaS Features and Service Offerings ,Cloud,DRaaS
How many DRaaS clients do you currently support,10,DRaaS Features and Service Offerings ,Cloud,DRaaS
How many total systems are you protecting via your DRaaS offerring,10,DRaaS Features and Service Offerings ,Cloud,DRaaS
"What are your supported RPO(s), can you support 4 hr and 2 hr RPO(s)",10,DRaaS Features and Service Offerings ,Cloud,DRaaS
What are your supported RTO(s),10,DRaaS Features and Service Offerings ,Cloud,DRaaS
Do you provide services/solutions that provide hot standby/active-active processing (Zero RPO/RTO),10,DRaaS Features and Service Offerings ,Cloud,DRaaS
What recovery locations are available,10,DRaaS Features and Service Offerings ,Cloud,DRaaS
"How do you charge for DRaaS, how do you charge for vCPU/vRAM/Storage and do you have tiered pricing where costs go down as quantities go up",10,DRaaS Features and Service Offerings ,Cloud,DRaaS
What technologies do you leverage for replication/orchestration,10,DRaaS Features and Service Offerings ,Cloud,DRaaS
How many DR tests are included in offering by default and can additional tests be added,10,DRaaS Features and Service Offerings ,Cloud,DRaaS
"Do you provide an initial DR ""test"" during implementation in order to validate solution functionality and if so does this count against test built into service offerring ",10,DRaaS Features and Service Offerings ,Cloud,DRaaS
"Are there any fees/charges associated with ""failing back"" after a fail over and are there any caveats regarding the failover process",10,DRaaS Features and Service Offerings ,Cloud,DRaaS
"Do you have a portal that allows clients to view protected systems, monitor and manage DRaaS",10,DRaaS Features and Service Offerings ,Cloud,DRaaS
Do you offer recovery to multi-tenant cloud,10,DRaaS Features and Service Offerings ,Cloud,DRaaS
Do you offer recovery to private cloud,10,DRaaS Features and Service Offerings ,Cloud,DRaaS
Do you offer recovery to Azure/AWS/GCP or other cloud providers,10,DRaaS Features and Service Offerings ,Cloud,DRaaS
"Do you support recovery to hybrid cloud, combination of customer owned gear and provider infrastructure ( customer owned Firewalls/switches/physical server etc with provider multi-tenant / private cloud recovery environment)",10,DRaaS Features and Service Offerings ,Cloud,DRaaS
How does your service provide for failover of public facing applications such as web applications,10,DRaaS Features and Service Offerings ,Cloud,DRaaS
"Does your DRaaS offering include a DR runbook/playbook, if so what is your methodology for keeping it up to date",10,DRaaS Features and Service Offerings ,Cloud,DRaaS
Do you have a maximum size limitation for virtual machines being protected (#vCPU/vRAM/Storage),10,DRaaS Features and Service Offerings ,Cloud,DRaaS
Do you offer multiple tiers of storage for DR recovery,10,DRaaS Features and Service Offerings ,Cloud,DRaaS
"Do you offer an assessments in order to determine application/system interdependencies, network requirements etc. If so is this done in house or via 3rd party",10,DRaaS Features and Service Offerings ,Cloud,DRaaS
"Do you support protection of virtual appliances, open source operating systems and Windows server OS's, provide support matrix if possible",10,DRaaS Features and Service Offerings ,Cloud,DRaaS
"Do you have multiple NOC's, if so please list locations ",10,Support,Cloud,DRaaS
"What is your support model/methodology ( IE follow the sun, 24x7 with one centralized NOC etc)",10,Support,Cloud,DRaaS
Do you have dedicated DRaaS engineers supporting your DRaaS service ( Monitoring/Break-fix/Testing/ Failover),10,Support,Cloud,DRaaS
Do you have a dedicated disaster recovery team / engineers,10,Support,Cloud,DRaaS
Is support staff 100% U.S. based,10,Support,Cloud,DRaaS
Do you offer Phone/Portal-Ticketing/Chat support options,10,Support,Cloud,DRaaS
